Quote,Speaker,Source,Type
"If you're referring to the incident with the dragon, I was barely involved. All I did was give your Uncle a little nudge out the door.",Gandalf,The Fellowship of the Ring,Movie
"Whatever you did, you've been officially labelled as a disturber of the peace.",Frodo,The Fellowship of the Ring,Movie
"No, thank you! We don't want any more visitors, well wishers, or distant relations.",Bilbo,The Fellowship of the Ring,Movie
"It's good to see you. One hundred and eleven years old, who would believe it? You haven't aged a day!",Gandalf,The Fellowship of the Ring,Movie
"Tea? Or maybe something stronger... I've a few bottles of the Old Winyard left, 1296...a very good year, almost as old as I am.",Bilbo,The Fellowship of the Ring,Movie
"I've got to get away from these confounded relatives, hanging on the bell all day, never giving me a moment's peace. I want to see mountains again...mountains, Gandalf!",Bilbo,The Fellowship of the Ring,Movie
he's a Baggins...not some block headed Bracegirdle from Hardbottle!,Bilbo,The Fellowship of the Ring,Movie
"He'd probably come with me if I asked him. I think, in his heart, Frodo's still in love with the Shire, the woods and the fields... little rivers.",Bilbo,The Fellowship of the Ring,Movie
"I feel thin...sort of stretched, like butter scraped over too much bread. I need a holiday...a very long holiday and I don't expect I shall return...in fact, I mean not to.",Bilbo,The Fellowship of the Ring,Movie
Gandalf my old friend...this will be a night to remember!,Bilbo,The Fellowship of the Ring,Movie
I don't know half of you half as well as I should like; and I like less than half of you as well as well as you deserve.,Bilbo,The Fellowship of the Ring,Movie
"I regret to announce, this is the end. I am going now. I bid you all a very fond farewell!",Bilbo,The Fellowship of the Ring,Movie
"There are many magic rings in the world, Bilbo Baggins, and none of them should be used lightly.",Gandalf,The Fellowship of the Ring,Movie
"Yes, yes, it's in an envelope... over there on the mantelpiece. No, wait. It's here in my pocket. Isn't that... isn't' that odd now? Yet, after all, why not? Why shouldn't I keep it?",Bilbo,The Fellowship of the Ring,Movie
"I think you should leave the Ring behind, Bilbo. Is that so hard?",Gandalf,The Fellowship of the Ring,Movie
Bilbo Baggins! Do not take me for some conjurer of cheap tricks! I am not trying to rob you. I am trying to help you.,Gandalf,The Fellowship of the Ring,Movie
"Keep it secret, keep it safe.",Gandalf,The Fellowship of the Ring,Movie
"In the common tongue it says, ""One ring to rule them all, One ring to find them, One ring to bring them all, and in the darkness bind them.""",Gandalf,The Fellowship of the Ring,Movie
"I ain't been dropping no eaves, sir! Honest. I was just cutting the grass under the window there, if you follow me.",Sam,The Fellowship of the Ring,Movie
"I don't know why he's so upset, it's only a couple of carrots. // And some cabbages...and those three bags of potatoes that we lifted last week. And then the mushrooms the week before.",Merry & Pippin,The Fellowship of the Ring,Movie
"Right... Buckleberry Ferry, follow me!",Merry,The Fellowship of the Ring,Movie
How far to the nearest crossing? // Brandywine bridge... twenty miles.,Frodo & Merry,The Fellowship of the Ring,Movie
